Timestamp,Session number,Density,Temperature,Mass flow rate,Mass total,Pressure,Is session active,Product: Name,Product: Category,Product: Sulphur content (%)
01/01/2023 00:00:00,122,955,38,0,0,0.887,FALSE,LSFO,Conventional,0.05
01/01/2023 00:00:30,122,955,38,0,0,0.888,FALSE,LSFO,Conventional,0.05
01/01/2023 00:01:00,122,955,37.8,0,0,0.89,FALSE,LSFO,Conventional,0.05
01/01/2023 00:01:30,122,956,37.7,0,0,0.892,FALSE,LSFO,Conventional,0.05
01/01/2023 00:02:00,122,955,37.6,0,0,0.893,FALSE,LSFO,Conventional,0.05
01/01/2023 00:02:30,122,955,37.5,0,0,0.895,FALSE,LSFO,Conventional,0.05
01/01/2023 00:03:00,122,955,37.3,0,0,0.896,FALSE,LSFO,Conventional,0.05
01/01/2023 00:03:30,122,955,37.3,0,0,0.898,FALSE,LSFO,Conventional,0.05
01/01/2023 00:04:00,122,954,37.1,0,0,0.901,FALSE,LSFO,Conventional,0.05
01/01/2023 00:04:30,122,947,37,0,0,0.904,FALSE,LSFO,Conventional,0.05
01/01/2023 00:05:00,122,913,36.9,0,0,0.907,FALSE,LSFO,Conventional,0.05
01/01/2023 00:05:30,122,833,36.8,0,0,0.91,FALSE,LSFO,Conventional,0.05
01/01/2023 00:06:00,122,779,36.7,0,0,0.911,FALSE,LSFO,Conventional,0.05
01/01/2023 00:06:30,122,761,36.6,0,0,0.912,FALSE,LSFO,Conventional,0.05
01/01/2023 00:07:00,122,754,36.5,0,0,0.912,FALSE,LSFO,Conventional,0.05
01/01/2023 00:07:30,122,753,36.4,0,0,0.912,FALSE,LSFO,Conventional,0.05
01/01/2023 00:08:00,122,754,36.4,0,0,0.913,FALSE,LSFO,Conventional,0.05
01/01/2023 00:08:30,122,756,36.2,0,0,0.913,FALSE,LSFO,Conventional,0.05
01/01/2023 00:09:00,122,758,36.2,0,0,0.913,FALSE,LSFO,Conventional,0.05
01/01/2023 00:09:30,122,759,36.1,0,0,0.913,FALSE,LSFO,Conventional,0.05
01/01/2023 00:10:00,122,762,36,0,0,0.913,FALSE,LSFO,Conventional,0.05
01/01/2023 00:10:30,122,766,35.9,0,0,0.914,FALSE,LSFO,Conventional,0.05
01/01/2023 00:11:00,122,770,35.8,0,0,0.914,FALSE,LSFO,Conventional,0.05
01/01/2023 00:11:30,122,773,35.7,0,0,0.914,FALSE,LSFO,Conventional,0.05
01/01/2023 00:12:00,122,777,35.6,0,0,0.914,FALSE,LSFO,Conventional,0.05
01/01/2023 00:12:30,122,776,35.5,0,0,0.914,FALSE,LSFO,Conventional,0.05
01/01/2023 00:13:00,122,797,35.4,0,0,0.914,FALSE,LSFO,Conventional,0.05
01/01/2023 00:13:30,122,803,35.3,0,0,0.912,FALSE,LSFO,Conventional,0.05
01/01/2023 00:14:00,122,803,35.2,0,0,0.91,FALSE,LSFO,Conventional,0.05
01/01/2023 00:14:30,122,803,35.1,0,0,0.909,FALSE,LSFO,Conventional,0.05
01/01/2023 00:15:00,122,803,35,0,0,0.907,FALSE,LSFO,Conventional,0.05
01/01/2023 00:15:30,122,803,34.9,0,0,0.906,FALSE,LSFO,Conventional,0.05
01/01/2023 00:16:00,122,803,34.8,0,0,0.904,FALSE,LSFO,Conventional,0.05
01/01/2023 00:16:30,122,803,34.7,0,0,0.903,FALSE,LSFO,Conventional,0.05
01/01/2023 00:17:00,122,803,34.6,0,0,0.901,FALSE,LSFO,Conventional,0.05
01/01/2023 00:17:30,122,803,34.5,0,0,0.9,FALSE,LSFO,Conventional,0.05
01/01/2023 00:18:00,122,802,34.5,0,0,0.899,FALSE,LSFO,Conventional,0.05
01/01/2023 00:18:30,122,802,34.4,0,0,0.898,FALSE,LSFO,Conventional,0.05
01/01/2023 00:19:00,122,802,34.3,0,0,0.897,FALSE,LSFO,Conventional,0.05
01/01/2023 00:19:30,122,802,34.2,0,0,0.896,FALSE,LSFO,Conventional,0.05
01/01/2023 00:20:00,122,802,34.1,0,0,0.895,FALSE,LSFO,Conventional,0.05
01/01/2023 00:20:30,122,802,34.1,0,0,0.894,FALSE,LSFO,Conventional,0.05
